"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
3;"Mario Kart Wii";"Wii";"2008";"Racing";"Nintendo";35,82
4;"Wii Sports Resort";"Wii";"2009";"Sports";"Nintendo";33
9;"New Super Mario Bros. Wii";"Wii";"2009";"Platform";"Nintendo";28,62
14;"Wii Fit";"Wii";"2007";"Sports";"Nintendo";22,72
15;"Wii Fit Plus";"Wii";"2009";"Sports";"Nintendo";22
16;"Kinect Adventures!";"X360";"2010";"Misc";"Microsoft Game Studios";21,82
17;"Grand Theft Auto V";"PS3";"2013";"Action";"Take-Two Interactive";21,4
24;"Grand Theft Auto V";"X360";"2013";"Action";"Take-Two Interactive";16,38
27;"Pokemon Black/Pokemon White";"DS";"2010";"Role-Playing";"Nintendo";15,32
30;"Call of Duty: Modern Warfare 3";"X360";"2011";"Shooter";"Activision";14,76
32;"Call of Duty: Black Ops";"X360";"2010";"Shooter";"Activision";14,64
33;"Pokemon X/Pokemon Y";"3DS";"2013";"Role-Playing";"Nintendo";14,35
34;"Call of Duty: Black Ops 3";"PS4";"2015";"Shooter";"Activision";14,24
35;"Call of Duty: Black Ops II";"PS3";"2012";"Shooter";"Activision";14,03
36;"Call of Duty: Black Ops II";"X360";"2012";"Shooter";"Activision";13,73
37;"Call of Duty: Modern Warfare 2";"X360";"2009";"Shooter";"Activision";13,51
38;"Call of Duty: Modern Warfare 3";"PS3";"2011";"Shooter";"Activision";13,46
40;"Super Smash Bros. Brawl";"Wii";"2008";"Fighting";"Nintendo";13,04
41;"Call of Duty: Black Ops";"PS3";"2010";"Shooter";"Activision";12,73
43;"Mario Kart 7";"3DS";"2011";"Racing";"Nintendo";12,21
44;"Halo 3";"X360";"2007";"Shooter";"Microsoft Game Studios";12,14
45;"Grand Theft Auto V";"PS4";"2014";"Action";"Take-Two Interactive";11,98
46;"Pokemon HeartGold/Pokemon SoulSilver";"DS";"2009";"Action";"Nintendo";11,9
49;"Super Mario Galaxy";"Wii";"2007";"Platform";"Nintendo";11,52
50;"Pokemon Omega Ruby/Pokemon Alpha Sapphire";"3DS";"2014";"Role-Playing";"Nintendo";11,33
52;"Grand Theft Auto IV";"X360";"2008";"Action";"Take-Two Interactive";11,02
54;"Super Mario 3D Land";"3DS";"2011";"Platform";"Nintendo";10,79
55;"Gran Turismo 5";"PS3";"2010";"Racing";"Sony Computer Entertainment";10,77
56;"Call of Duty: Modern Warfare 2";"PS3";"2009";"Shooter";"Activision";10,69
57;"Grand Theft Auto IV";"PS3";"2008";"Action";"Take-Two Interactive";10,57
61;"Just Dance 3";"Wii";"2011";"Misc";"Ubisoft";10,26
62;"Call of Duty: Ghosts";"X360";"2013";"Shooter";"Activision";10,21
63;"Halo: Reach";"X360";"2010";"Shooter";"Microsoft Game Studios";9,88
65;"New Super Mario Bros. 2";"3DS";"2012";"Platform";"Nintendo";9,82
66;"Halo 4";"X360";"2012";"Shooter";"Microsoft Game Studios";9,76
68;"Call of Duty: Ghosts";"PS3";"2013";"Shooter";"Activision";9,59
69;"Just Dance 2";"Wii";"2010";"Misc";"Ubisoft";9,52
71;"Call of Duty 4: Modern Warfare";"X360";"2007";"Shooter";"Activision";9,32
73;"Minecraft";"X360";"2013";"Misc";"Microsoft Game Studios";9,2
74;"Animal Crossing: New Leaf";"3DS";"2012";"Simulation";"Nintendo";9,09
75;"Mario Party DS";"DS";"2007";"Misc";"Nintendo";9,02
76;"The Elder Scrolls V: Skyrim";"X360";"2011";"Role-Playing";"Bethesda Softworks";8,84
78;"FIFA 16";"PS4";"2015";"Sports";"Electronic Arts";8,49
79;"Wii Party";"Wii";"2010";"Misc";"Nintendo";8,49
81;"Mario Party 8";"Wii";"2007";"Misc";"Nintendo";8,42
82;"Pokemon Black 2/Pokemon White 2";"DS";"2012";"Role-Playing";"Nintendo";8,33
83;"FIFA Soccer 13";"PS3";"2012";"Action";"Electronic Arts";8,24
84;"The Sims 3";"PC";"2009";"Simulation";"Electronic Arts";8,11
86;"Mario & Sonic at the Olympic Games";"Wii";"2007";"Sports";"Sega";8,06
89;"Pokémon Platinum Version";"DS";"2008";"Role-Playing";"Nintendo";7,84
92;"Super Mario Galaxy 2";"Wii";"2010";"Platform";"Nintendo";7,69
93;"Star Wars Battlefront (2015)";"PS4";"2015";"Shooter";"Electronic Arts";7,67
94;"Call of Duty: Advanced Warfare";"PS4";"2014";"Shooter";"Activision";7,6
98;"Super Smash Bros. for Wii U and 3DS";"3DS";"2014";"Fighting";"Nintendo";7,45
99;"Call of Duty: World at War";"X360";"2008";"Shooter";"Activision";7,37
100;"Battlefield 3";"X360";"2011";"Shooter";"Electronic Arts";7,34
102;"Call of Duty: Black Ops 3";"XOne";"2015";"Shooter";"Activision";7,3
103;"Just Dance";"Wii";"2009";"Misc";"Ubisoft";7,27
104;"Battlefield 3";"PS3";"2011";"Shooter";"Electronic Arts";7,23
110;"Fallout 4";"PS4";"2015";"Role-Playing";"Bethesda Softworks";6,96
112;"Just Dance 4";"Wii";"2012";"Misc";"Ubisoft";6,91
113;"FIFA 14";"PS3";"2013";"Sports";"Electronic Arts";6,9
116;"Uncharted 3: Drake's Deception";"PS3";"2011";"Action";"Sony Computer Entertainment";6,83
118;"Zumba Fitness";"Wii";"2010";"Sports";"505 Games";6,81
119;"Gears of War 2";"X360";"2008";"Shooter";"Microsoft Game Studios";6,76
120;"Uncharted 2: Among Thieves";"PS3";"2009";"Action";"Sony Computer Entertainment";6,73
121;"Call of Duty 4: Modern Warfare";"PS3";"2007";"Shooter";"Activision";6,72
122;"FIFA 12";"PS3";"2011";"Sports";"Electronic Arts";6,69
124;"Red Dead Redemption";"PS3";"2010";"Action";"Take-Two Interactive";6,6
125;"FIFA 15";"PS4";"2014";"Sports";"Electronic Arts";6,59
126;"Donkey Kong Country Returns";"Wii";"2010";"Platform";"Nintendo";6,59
127;"The Elder Scrolls V: Skyrim";"PS3";"2011";"Role-Playing";"Bethesda Softworks";6,56
129;"Assassin's Creed III";"PS3";"2012";"Action";"Ubisoft";6,5
134;"Halo 3: ODST";"X360";"2009";"Shooter";"Microsoft Game Studios";6,36
135;"Red Dead Redemption";"X360";"2010";"Action";"Take-Two Interactive";6,34
140;"Kinect Sports";"X360";"2010";"Sports";"Microsoft Game Studios";6,24
141;"Gears of War 3";"X360";"2011";"Shooter";"Microsoft Game Studios";6,24
145;"Metal Gear Solid 4: Guns of the Patriots";"PS3";"2008";"Action";"Konami Digital Entertainment";6,03
147;"The Last of Us";"PS3";"2013";"Action";"Sony Computer Entertainment Europe";5,99
149;"LittleBigPlanet";"PS3";"2008";"Platform";"Sony Computer Entertainment";5,92
150;"Dragon Quest IX: Sentinels of the Starry Skies";"DS";"2009";"Role-Playing";"Nintendo";5,84
151;"LEGO Star Wars: The Complete Saga";"Wii";"2007";"Action";"LucasArts";5,83
155;"Destiny";"PS4";"2014";"Shooter";"Activision";5,65
157;"Assassin's Creed II";"PS3";"2009";"Action";"Ubisoft";5,57
159;"Assassin's Creed";"X360";"2007";"Adventure";"Ubisoft";5,55
160;"Batman: Arkham City";"PS3";"2011";"Action";"Warner Bros. Interactive Entertainment";5,53
161;"Forza Motorsport 3";"X360";"2009";"Racing";"Microsoft Game Studios";5,51
162;"Monster Hunter Freedom Unite";"PSP";"2008";"Role-Playing";"Capcom";5,5
167;"Call of Duty: World at War";"PS3";"2008";"Shooter";"Activision";5,43
169;"Minecraft";"PS3";"2014";"Misc";"Sony Computer Entertainment";5,42
170;"Final Fantasy XIII";"PS3";"2009";"Role-Playing";"Square Enix";5,36
173;"Assassin's Creed III";"X360";"2012";"Action";"Ubisoft";5,3
177;"Assassin's Creed II";"X360";"2009";"Action";"Ubisoft";5,27
178;"Professor Layton and the Curious Village";"DS";"2007";"Puzzle";"Nintendo";5,26
182;"Diablo III";"PC";"2012";"Role-Playing";"Activision";5,2
186;"FIFA Soccer 13";"X360";"2012";"Action";"Electronic Arts";5,18
187;"The Legend of Zelda: Phantom Hourglass";"DS";"2007";"Action";"Nintendo";5,17
189;"Tomodachi Life";"3DS";"2013";"Simulation";"Nintendo";5,15
190;"Mario & Sonic at the Olympic Games";"DS";"2008";"Sports";"Sega";5,14
193;"Fable III";"X360";"2010";"Role-Playing";"Microsoft Game Studios";5,13
194;"Call of Duty: Advanced Warfare";"XOne";"2014";"Shooter";"Activision";5,13
197;"Resident Evil 5";"PS3";"2009";"Action";"Capcom";5,11
198;"Grand Theft Auto V";"XOne";"2014";"Action";"Take-Two Interactive";5,08
200;"FIFA Soccer 11";"PS3";"2010";"Sports";"Electronic Arts";5,08
207;"Link's Crossbow Training";"Wii";"2007";"Shooter";"Nintendo";5
208;"Guitar Hero III: Legends of Rock";"PS2";"2007";"Misc";"Activision";4,98
209;"Fallout 3";"X360";"2008";"Role-Playing";"Bethesda Softworks";4,96
210;"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness";"DS";"2007";"Role-Playing";"Nintendo";4,96
211;"Uncharted: Drake's Fortune";"PS3";"2007";"Action";"Sony Computer Entertainment";4,94
213;"LEGO Star Wars: The Complete Saga";"DS";"2007";"Action";"LucasArts";4,9
215;"Monster Hunter Freedom 3";"PSP";"2010";"Role-Playing";"Capcom";4,87
217;"God of War III";"PS3";"2010";"Action";"Sony Computer Entertainment";4,84
218;"StarCraft II: Wings of Liberty";"PC";"2010";"Strategy";"Activision";4,83
219;"Assassin's Creed";"PS3";"2007";"Adventure";"Ubisoft";4,83
220;"FIFA 15";"PS3";"2014";"Sports";"Electronic Arts";4,82
222;"FIFA 17";"PS4";"2016";"Sports";"Electronic Arts";4,77
223;"Batman: Arkham City";"X360";"2011";"Action";"Warner Bros. Interactive Entertainment";4,76
227;"Animal Crossing: City Folk";"Wii";"2008";"Simulation";"Nintendo";4,68
229;"Forza Motorsport 4";"X360";"2011";"Racing";"Microsoft Game Studios";4,64
231;"Guitar Hero III: Legends of Rock";"Wii";"2007";"Misc";"Activision";4,62
234;"Mario & Sonic at the Olympic Winter Games";"Wii";"2009";"Sports";"Sega";4,58
235;"Luigi's Mansion: Dark Moon";"3DS";"2013";"Action";"Nintendo";4,58
237;"The Last of Us";"PS4";"2014";"Action";"Sony Computer Entertainment";4,55
238;"Guitar Hero III: Legends of Rock";"X360";"2007";"Misc";"Activision";4,53
244;"Uncharted: The Nathan Drake Collection";"PS4";"2015";"Action";"Sony Computer Entertainment";4,47
245;"Call of Duty: Advanced Warfare";"PS3";"2014";"Shooter";"Activision";4,45
248;"Michael Jackson: The Experience";"Wii";"2010";"Misc";"Ubisoft";4,42
257;"FIFA 14";"X360";"2013";"Sports";"Electronic Arts";4,31
258;"Call of Duty: Advanced Warfare";"X360";"2014";"Shooter";"Activision";4,31
260;"Fable II";"X360";"2008";"Role-Playing";"Microsoft Game Studios";4,31
261;"Halo 5: Guardians";"XOne";"2015";"Shooter";"Microsoft Game Studios";4,26
263;"Batman: Arkham Asylum";"PS3";"2009";"Action";"Eidos Interactive";4,25
264;"Assassin's Creed: Revelations";"PS3";"2011";"Action";"Ubisoft";4,24
269;"The Legend of Zelda: Ocarina of Time";"3DS";"2011";"Action";"Nintendo";4,21
272;"Uncharted 4: A Thief's End";"PS4";"2016";"Shooter";"Sony Computer Entertainment";4,2
273;"Gran Turismo 5 Prologue";"PS3";"2007";"Racing";"Sony Computer Entertainment";4,2
274;"Assassin's Creed: Revelations";"X360";"2011";"Action";"Ubisoft";4,19
275;"Street Fighter IV";"PS3";"2009";"Fighting";"Capcom";4,19
276;"FIFA 12";"X360";"2011";"Sports";"Electronic Arts";4,19
281;"Watch Dogs";"PS4";"2014";"Action";"Ubisoft";4,14
285;"The Legend of Zelda: Skyward Sword";"Wii";"2011";"Action";"Nintendo";4,1
287;"Carnival Games";"Wii";"2007";"Misc";"Take-Two Interactive";4,1
288;"Fallout 4";"XOne";"2015";"Role-Playing";"Bethesda Softworks";4,09
289;"World of Warcraft: The Burning Crusade";"PC";"2007";"Role-Playing";"Activision";4,09
290;"Fallout: New Vegas";"X360";"2010";"Role-Playing";"Bethesda Softworks";4,08
291;"God of War II";"PS2";"2007";"Action";"Sony Computer Entertainment";4,07
292;"Forza Motorsport 2";"X360";"2007";"Racing";"Microsoft Game Studios";4,06
296;"Far Cry 4";"PS4";"2014";"Shooter";"Ubisoft";4,03
298;"Minecraft";"PS4";"2014";"Misc";"Sony Computer Entertainment Europe";4,02
300;"Fallout 3";"PS3";"2008";"Role-Playing";"Bethesda Softworks";4,01
301;"Professor Layton and the Diabolical Box";"DS";"2007";"Puzzle";"Nintendo";4
302;"Left 4 Dead 2";"X360";"2009";"Shooter";"Electronic Arts";3,99
304;"EA Sports Active";"Wii";"2009";"Sports";"Electronic Arts";3,92
305;"Assassin's Creed: Unity";"PS4";"2014";"Action";"Ubisoft";3,92
308;"Assassin's Creed IV: Black Flag";"PS3";"2013";"Action";"Ubisoft";3,89
309;"Monster Hunter 4 Ultimate";"3DS";"2014";"Role-Playing";"Nintendo";3,89
311;"The Elder Scrolls V: Skyrim";"PC";"2011";"Role-Playing";"Bethesda Softworks";3,88
314;"Sports Champions";"PS3";"2010";"Sports";"Sony Computer Entertainment";3,87
315;"NBA 2K16";"PS4";"2015";"Sports";"Take-Two Interactive";3,85
317;"Flash Focus: Vision Training in Minutes a Day";"DS";"2007";"Misc";"Nintendo";3,84
320;"Mario & Luigi: Bowser's Inside Story";"DS";"2009";"Role-Playing";"Nintendo";3,83
321;"Big Brain Academy: Wii Degree";"Wii";"2007";"Misc";"Nintendo";3,82
322;"Nintendogs + cats";"3DS";"2011";"Simulation";"Nintendo";3,81
323;"Batman: Arkham Knight";"PS4";"2015";"Action";"Warner Bros. Interactive Entertainment";3,79
324;"Mario & Sonic at the London 2012 Olympic Games";"Wii";"2011";"Sports";"Sega";3,78
325;"LEGO Indiana Jones: The Original Adventures";"X360";"2008";"Action";"Activision";3,78
327;"Ratchet & Clank: Size Matters";"PSP";"2007";"Platform";"Sony Computer Entertainment";3,77
328;"Just Dance 2014";"Wii";"2013";"Misc";"Ubisoft";3,76
330;"Super Paper Mario";"Wii";"2007";"Platform";"Nintendo";3,76
332;"The Witcher 3: Wild Hunt";"PS4";"2015";"Role-Playing";"Namco Bandai Games";3,73
337;"Battlefield 4";"PS3";"2013";"Shooter";"Electronic Arts";3,69
338;"MySims";"DS";"2007";"Simulation";"Electronic Arts";3,69
339;"Friend Collection";"DS";"2009";"Misc";"Nintendo";3,67
344;"Guitar Hero: World Tour";"Wii";"2008";"Misc";"Activision";3,65
345;"Gran Turismo 6";"PS3";"2013";"Racing";"Sony Computer Entertainment";3,64
348;"FIFA Soccer 10";"PS3";"2009";"Sports";"Electronic Arts";3,63
349;"Pro Evolution Soccer 2008";"PS2";"2007";"Sports";"Konami Digital Entertainment";3,63
350;"Call of Duty: Ghosts";"PS4";"2013";"Shooter";"Activision";3,63
352;"Tom Clancy's The Division";"PS4";"2016";"Shooter";"Ubisoft";3,61
356;"Cooking Mama 2: Dinner With Friends";"DS";"2007";"Simulation";"505 Games";3,61
366;"Battlefield 4";"X360";"2013";"Shooter";"Electronic Arts";3,53
367;"FIFA Soccer 11";"X360";"2010";"Sports";"Electronic Arts";3,53
370;"Left 4 Dead";"X360";"2008";"Shooter";"Electronic Arts";3,52
371;"Mario & Sonic at the Olympic Winter Games";"DS";"2009";"Sports";"Sega";3,52
372;"Resident Evil 5";"X360";"2009";"Action";"Capcom";3,51
374;"Assassin's Creed: Brotherhood";"X360";"2010";"Action";"Ubisoft";3,5
376;"Batman: Arkham Asylum";"X360";"2009";"Action";"Eidos Interactive";3,5
379;"Star Wars Battlefront (2015)";"XOne";"2015";"Shooter";"Electronic Arts";3,49
380;"Battlefield: Bad Company 2";"X360";"2010";"Shooter";"Electronic Arts";3,48
381;"Guitar Hero: On Tour";"DS";"2008";"Misc";"Activision";3,48
382;"Assassin's Creed: Unity";"XOne";"2014";"Action";"Ubisoft";3,46
383;"Far Cry 3";"PS3";"2012";"Shooter";"Ubisoft";3,45
384;"Monster Hunter 4";"3DS";"2013";"Role-Playing";"Capcom";3,44
385;"Borderlands";"X360";"2009";"Shooter";"Take-Two Interactive";3,44
387;"Battlefield 4";"PS4";"2013";"Shooter";"Electronic Arts";3,43
388;"LittleBigPlanet 2";"PS3";"2011";"Platform";"Sony Computer Entertainment";3,42
395;"LEGO Batman: The Videogame";"X360";"2008";"Action";"Warner Bros. Interactive Entertainment";3,38
396;"Metal Gear Solid V: The Phantom Pain";"PS4";"2015";"Action";"Konami Digital Entertainment";3,38
397;"The Legend of Zelda: Spirit Tracks";"DS";"2009";"Action";"Nintendo";3,38
400;"Professor Layton and the Unwound Future";"DS";"2008";"Puzzle";"Nintendo";3,36
402;"Assassin's Creed IV: Black Flag";"X360";"2013";"Action";"Ubisoft";3,34
406;"Mario Party 9";"Wii";"2012";"Misc";"Nintendo";3,32
410;"Assassin's Creed Syndicate";"PS4";"2015";"Action";"Ubisoft";3,28
411;"Destiny";"XOne";"2014";"Shooter";"Activision";3,28
413;"Wii Music";"Wii";"2008";"Misc";"Nintendo";3,27
414;"Gran Turismo (PSP)";"PSP";"2009";"Racing";"Sony Computer Entertainment";3,27
415;"Monster Hunter X";"3DS";"2015";"Action";"Capcom";3,26
417;"FIFA 16";"XOne";"2015";"Sports";"Electronic Arts";3,23
418;"L.A. Noire";"PS3";"2011";"Adventure";"Take-Two Interactive";3,23
419;"Madden NFL 16";"PS4";"2015";"Sports";"Electronic Arts";3,22
420;"Yokai Watch 2 Ganso/Honke";"3DS";"2014";"Role-Playing";"Nintendo";3,22
425;"Crisis Core: Final Fantasy VII";"PSP";"2007";"Role-Playing";"Square Enix";3,19
426;"God of War: Chains of Olympus";"PSP";"2008";"Action";"Sony Computer Entertainment";3,19
428;"Dance Central";"X360";"2010";"Misc";"MTV Games";3,19
431;"Fallout: New Vegas";"PS3";"2010";"Role-Playing";"Bethesda Softworks";3,17
433;"Rhythm Heaven";"DS";"2008";"Misc";"Nintendo";3,17
435;"Club Penguin: Elite Penguin Force";"DS";"2008";"Adventure";"Disney Interactive Studios";3,16
437;"LEGO Batman: The Videogame";"DS";"2008";"Action";"Warner Bros. Interactive Entertainment";3,15
439;"Resident Evil 6";"PS3";"2012";"Shooter";"Capcom";3,15
440;"Halo: The Master Chief Collection";"XOne";"2014";"Shooter";"Microsoft Game Studios";3,15
441;"FIFA Soccer 08";"PS2";"2007";"Sports";"Electronic Arts";3,14
446;"The Elder Scrolls IV: Oblivion";"PS3";"2007";"Role-Playing";"Ubisoft";3,12
448;"Heavy Rain";"PS3";"2010";"Adventure";"Sony Computer Entertainment";3,12
449;"Mass Effect 2";"X360";"2010";"Role-Playing";"Electronic Arts";3,11
450;"FIFA 15";"X360";"2014";"Sports";"Electronic Arts";3,11
454;"Borderlands 2";"X360";"2012";"Shooter";"Take-Two Interactive";3,07
455;"The Legend of Zelda: A Link Between Worlds";"3DS";"2013";"Action";"Nintendo";3,07
458;"Mass Effect 3";"X360";"2012";"Role-Playing";"Electronic Arts";3,07
459;"Kung Fu Panda";"X360";"2008";"Action";"Activision";3,05
460;"Far Cry 3";"X360";"2012";"Shooter";"Ubisoft";3,04
461;"Epic Mickey";"Wii";"2010";"Platform";"Disney Interactive Studios";3,04
462;"Saints Row 2";"X360";"2008";"Action";"THQ";3,03
464;"Killzone 2";"PS3";"2009";"Shooter";"Sony Computer Entertainment";3,02
468;"Gears of War: Ultimate Edition";"XOne";"2015";"Shooter";"Microsoft Game Studios";3
469;"NBA 2K13";"X360";"2012";"Sports";"Take-Two Interactive";3
470;"Dragon Ball Z: Budokai Tenkaichi 3";"PS2";"2007";"Fighting";"Atari";3
472;"Middle-Earth: Shadow of Mordor";"PS4";"2014";"Action";"Warner Bros. Interactive Entertainment";2,99
477;"Animal Crossing: Happy Home Designer";"3DS";"2015";"Simulation";"Nintendo";2,98
478;"Battlefield: Bad Company 2";"PS3";"2010";"Shooter";"Electronic Arts";2,97
479;"The Sims 4";"PC";"2014";"Simulation";"Electronic Arts";2,97
480;"Star Wars: The Old Republic";"PC";"2011";"Role-Playing";"Electronic Arts";2,97
482;"Kirby Super Star Ultra";"DS";"2008";"Platform";"Nintendo";2,96
484;"Street Fighter IV";"X360";"2009";"Fighting";"Capcom";2,95
488;"inFAMOUS";"PS3";"2009";"Action";"Sony Computer Entertainment";2,94
490;"Mass Effect";"X360";"2007";"Role-Playing";"Microsoft Game Studios";2,93
492;"Cooking Mama: Cook Off";"Wii";"2007";"Simulation";"505 Games";2,91
494;"FIFA 14";"PS4";"2013";"Sports";"Electronic Arts";2,9
495;"Titanfall";"XOne";"2014";"Shooter";"Electronic Arts";2,9
497;"Sega Superstars Tennis";"X360";"2008";"Sports";"Sega";2,9
499;"Need for Speed: Most Wanted";"PS3";"2012";"Racing";"Electronic Arts";2,89
502;"Zumba Fitness 2";"Wii";"2011";"Sports";"Majesco Entertainment";2,88
504;"Imagine: Babyz";"DS";"2007";"Simulation";"Ubisoft";2,88
506;"Call of Duty: Ghosts";"XOne";"2013";"Shooter";"Activision";2,86
507;"Madden NFL 13";"X360";"2012";"Sports";"Electronic Arts";2,86
509;"Mortal Kombat";"PS3";"2011";"Fighting";"Warner Bros. Interactive Entertainment";2,85
513;"Skylanders: Spyro's Adventure";"Wii";"2011";"Action";"Activision";2,85
514;"FIFA 16";"PS3";"2015";"Sports";"Electronic Arts";2,85
515;"Assassin's Creed: Brotherhood";"PS3";"2010";"Action";"Ubisoft";2,84
516;"BioShock";"X360";"2007";"Shooter";"Take-Two Interactive";2,83
517;"Madden NFL 10";"X360";"2009";"Sports";"Electronic Arts";2,83
518;"Medal of Honor";"PS3";"2010";"Shooter";"Electronic Arts";2,83
523;"Need for Speed: Hot Pursuit";"PS3";"2010";"Racing";"Electronic Arts";2,81
524;"Imagine: Fashion Designer";"DS";"2007";"Simulation";"Ubisoft";2,81
526;"Star Wars: The Force Unleashed";"X360";"2008";"Action";"LucasArts";2,8
529;"Killzone 3";"PS3";"2011";"Shooter";"Sony Computer Entertainment";2,79
534;"Battlefield 3";"PC";"2011";"Shooter";"Electronic Arts";2,79
536;"Professor Layton and the Last Specter";"DS";"2009";"Puzzle";"Nintendo";2,79
537;"Monster Hunter Tri";"3DS";"2011";"Role-Playing";"Nintendo";2,79
539;"inFAMOUS: Second Son";"PS4";"2014";"Action";"Sony Computer Entertainment";2,78
