"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
541;"Tekken 6";"PS3";"2009";"Fighting";"Namco Bandai Games";2,78
543;"Sonic and the Secret Rings";"Wii";"2007";"Platform";"Sega";2,77
544;"Saints Row: The Third";"X360";"2011";"Action";"THQ";2,77
547;"Assassin's Creed IV: Black Flag";"PS4";"2013";"Action";"Ubisoft";2,74
550;"L.A. Noire";"X360";"2011";"Adventure";"Take-Two Interactive";2,72
554;"Mortal Kombat X";"PS4";"2015";"Fighting";"Warner Bros. Interactive Entertainment";2,7
556;"Madden NFL 12";"X360";"2011";"Sports";"Electronic Arts";2,69
558;"Madden NFL 11";"X360";"2010";"Sports";"Electronic Arts";2,69
559;"Mario vs. Donkey Kong: Mini-Land Mayhem!";"DS";"2010";"Puzzle";"Nintendo";2,69
560;"Skate 3";"X360";"2010";"Sports";"Electronic Arts";2,68
562;"Yokai Watch 2 Shinuchi";"3DS";"2014";"Role-Playing";"Level 5";2,68
563;"Need for Speed: Shift";"PS3";"2009";"Racing";"Electronic Arts";2,68
564;"Final Fantasy XIII-2";"PS3";"2011";"Role-Playing";"Square Enix";2,68
567;"Guitar Hero: World Tour";"X360";"2008";"Misc";"Activision";2,67
572;"Skylanders Giants";"Wii";"2012";"Action";"Activision";2,65
576;"LEGO Star Wars: The Complete Saga";"X360";"2007";"Action";"LucasArts";2,64
579;"Halo Wars";"X360";"2009";"Strategy";"Microsoft Game Studios";2,63
580;"God of War Collection";"PS3";"2009";"Action";"Sony Computer Entertainment";2,63
582;"Mario Strikers Charged";"Wii";"2007";"Sports";"Nintendo";2,62
583;"Medal of Honor";"X360";"2010";"Shooter";"Electronic Arts";2,62
584;"FIFA Soccer 10";"X360";"2009";"Sports";"Electronic Arts";2,62
585;"NBA 2K12";"X360";"2011";"Sports";"Take-Two Interactive";2,62
586;"Style Savvy";"DS";"2008";"Simulation";"Nintendo";2,61
588;"Super Mario All-Stars: Limited Edition";"Wii";"2010";"Platform";"Nintendo";2,6
590;"FIFA Soccer 09";"PS3";"2008";"Sports";"Electronic Arts";2,59
591;"Ratchet & Clank Future: Tools of Destruction";"PS3";"2007";"Platform";"Sony Computer Entertainment";2,59
593;"LittleBigPlanet";"PSP";"2009";"Platform";"Sony Computer Entertainment";2,58
594;"Killzone: Shadow Fall";"PS4";"2013";"Shooter";"Sony Computer Entertainment";2,58
595;"Ghostbusters: The Video Game (DS Version)";"X360";"2009";"Action";"Take-Two Interactive";2,58
596;"Monster Hunter Freedom 2";"PSP";"2007";"Role-Playing";"Capcom";2,58
599;"Art Academy";"DS";"2010";"Misc";"Nintendo";2,57
600;"Dragon Age: Origins";"X360";"2009";"Role-Playing";"Electronic Arts";2,57
601;"Madden NFL 08";"PS2";"2007";"Sports";"Electronic Arts";2,57
604;"Madden NFL 13";"PS3";"2012";"Sports";"Electronic Arts";2,56
606;"Deca Sports";"Wii";"2008";"Sports";"Konami Digital Entertainment";2,54
607;"Madden NFL 09";"X360";"2008";"Sports";"Electronic Arts";2,54
611;"Game Party";"Wii";"2007";"Misc";"Midway Games";2,52
613;"Tomb Raider (2013)";"PS3";"2013";"Action";"Square Enix";2,51
615;"PES 2009: Pro Evolution Soccer";"PS2";"2008";"Sports";"Konami Digital Entertainment";2,5
617;"Saints Row: The Third";"PS3";"2011";"Action";"THQ";2,49
619;"LEGO Harry Potter: Years 1-4";"Wii";"2010";"Action";"Warner Bros. Interactive Entertainment";2,49
621;"Resistance 2";"PS3";"2008";"Shooter";"Sony Computer Entertainment";2,48
622;"Pure";"X360";"2008";"Racing";"Disney Interactive Studios";2,48
624;"NBA 2K13";"PS3";"2012";"Sports";"Take-Two Interactive";2,48
626;"NBA 2K14";"X360";"2013";"Sports";"Take-Two Interactive";2,47
628;"uDraw Studio";"Wii";"2010";"Misc";"THQ";2,46
629;"Midnight Club: Los Angeles";"PS3";"2008";"Racing";"Take-Two Interactive";2,45
633;"Halo: Combat Evolved Anniversary";"X360";"2011";"Shooter";"Microsoft Game Studios";2,44
637;"Tom Clancy's Rainbow Six: Vegas 2";"X360";"2008";"Shooter";"Ubisoft";2,42
640;"pro evolution soccer 2011";"PS3";"2010";"Sports";"Konami Digital Entertainment";2,42
644;"Minecraft";"XOne";"2014";"Misc";"Microsoft Game Studios";2,41
645;"Need for Speed: ProStreet";"PS2";"2007";"Racing";"Electronic Arts";2,41
646;"Madden NFL 16";"XOne";"2015";"Sports";"Electronic Arts";2,4
651;"Need for Speed (2015)";"PS4";"2015";"Racing";"Electronic Arts";2,39
652;"Zumba Fitness";"X360";"2010";"Sports";"505 Games";2,39
656;"Batman: Arkham Origins";"PS3";"2013";"Action";"Warner Bros. Interactive Entertainment";2,39
657;"Dead Island";"X360";"2011";"Action";"Deep Silver";2,39
659;"LEGO Star Wars: The Complete Saga";"PS3";"2007";"Action";"LucasArts";2,38
660;"Kinect: Disneyland Adventures";"X360";"2011";"Misc";"Microsoft Game Studios";2,38
662;"Bloodborne";"PS4";"2015";"Action";"Sony Computer Entertainment";2,38
663;"NBA 2K15";"PS4";"2014";"Sports";"Take-Two Interactive";2,38
664;"Madden NFL 11";"PS3";"2010";"Sports";"Electronic Arts";2,38
666;"Madden NFL 08";"X360";"2007";"Sports";"Electronic Arts";2,37
670;"Madden NFL 10";"PS3";"2009";"Sports";"Electronic Arts";2,37
671;"Kinect Sports: Season Two";"X360";"2011";"Sports";"Microsoft Game Studios";2,36
673;"LEGO Harry Potter: Years 1-4";"DS";"2010";"Action";"Warner Bros. Interactive Entertainment";2,35
676;"Midnight Club: Los Angeles";"X360";"2008";"Racing";"Take-Two Interactive";2,35
677;"Skylanders SWAP Force";"Wii";"2013";"Platform";"Activision";2,34
678;"WWE SmackDown vs Raw 2008";"PS2";"2007";"Fighting";"THQ";2,34
679;"My Fitness Coach";"Wii";"2008";"Sports";"Ubisoft";2,34
681;"The Sims 3";"X360";"2010";"Simulation";"Electronic Arts";2,33
682;"The Legend of Zelda: Majora's Mask 3D";"3DS";"2015";"Action";"Nintendo";2,32
683;"NBA 2K16";"XOne";"2015";"Sports";"Take-Two Interactive";2,32
684;"Just Dance Kids";"Wii";"2010";"Misc";"Ubisoft";2,32
692;"LEGO Marvel Super Heroes";"X360";"2013";"Action";"Warner Bros. Interactive Entertainment";2,3
693;"Guild Wars 2";"PC";"2012";"Action";"NCSoft";2,3
694;"Pokemon Ranger: Shadows of Almia";"DS";"2008";"Role-Playing";"Nintendo";2,3
695;"Dead Island";"PS3";"2011";"Action";"Deep Silver";2,29
697;"God of War: Ascension";"PS3";"2013";"Action";"Sony Computer Entertainment";2,29
699;"Pro Evolution Soccer 2010";"PS3";"2009";"Sports";"Konami Digital Entertainment";2,28
700;"Just Dance 2015";"Wii";"2014";"Misc";"Ubisoft";2,28
701;"Yokai Watch Busters";"3DS";"2015";"Action";"Level 5";2,28
703;"FIFA Soccer 09";"PS2";"2008";"Sports";"Electronic Arts";2,28
704;"Star Wars: The Force Unleashed";"PS3";"2008";"Action";"LucasArts";2,28
705;"Borderlands 2";"PS3";"2012";"Shooter";"Take-Two Interactive";2,28
707;"Paper Mario: Sticker Star";"3DS";"2012";"Role-Playing";"Nintendo";2,27
708;"Sonic's Ultimate Genesis Collection";"PS3";"2009";"Misc";"Sega";2,27
712;"Guitar Hero III: Legends of Rock";"PS3";"2007";"Misc";"Activision";2,26
714;"Resident Evil 4";"Wii";"2007";"Action";"Capcom";2,26
715;"Minecraft";"PSV";"2014";"Misc";"Sony Computer Entertainment Europe";2,25
719;"Madden NFL 12";"PS3";"2011";"Sports";"Electronic Arts";2,25
720;"Monster Hunter Tri";"Wii";"2009";"Role-Playing";"Nintendo";2,25
721;"Dissidia: Final Fantasy";"PSP";"2008";"Fighting";"Square Enix";2,25
725;"LEGO Indiana Jones: The Original Adventures";"DS";"2008";"Action";"Activision";2,23
726;"Dance Dance Revolution X2";"PS2";"2009";"Simulation";"Konami Digital Entertainment";2,23
729;"Scribblenauts";"DS";"2009";"Puzzle";"Warner Bros. Interactive Entertainment";2,22
731;"Need for Speed: Hot Pursuit";"X360";"2010";"Racing";"Electronic Arts";2,22
732;"BioShock 2";"X360";"2010";"Shooter";"Take-Two Interactive";2,21
733;"Assassin's Creed IV: Black Flag";"XOne";"2013";"Action";"Ubisoft";2,21
735;"Rock Band 2";"X360";"2008";"Misc";"Electronic Arts";2,2
737;"Guitar Hero II";"X360";"2007";"Misc";"Activision";2,2
740;"Sonic Unleashed";"Wii";"2008";"Platform";"Sega";2,2
741;"High School Musical: Makin' the Cut!";"DS";"2007";"Puzzle";"Disney Interactive Studios";2,2
742;"Pro Evolution Soccer 2012";"PS3";"2011";"Action";"Konami Digital Entertainment";2,19
747;"Hitman: Absolution";"PS3";"2012";"Action";"Square Enix";2,19
750;"Forza Motorsport 5";"XOne";"2013";"Racing";"Microsoft Game Studios";2,18
751;"Madden NFL 25";"X360";"2013";"Sports";"Electronic Arts";2,18
754;"Final Fantasy XIII";"X360";"2010";"Role-Playing";"Square Enix";2,17
758;"Your Shape featuring Jenny McCarthy";"Wii";"2009";"Sports";"Ubisoft";2,16
760;"Tom Clancy's Rainbow Six: Siege";"PS4";"2015";"Shooter";"Ubisoft";2,15
762;"FIFA 15";"XOne";"2014";"Sports";"Electronic Arts";2,15
763;"Call of Duty: Roads to Victory";"PSP";"2007";"Shooter";"Activision";2,14
772;"Far Cry: Primal";"PS4";"2016";"Action";"Ubisoft";2,13
773;"Toy Story 3: The Video Game";"DS";"2010";"Action";"Disney Interactive Studios";2,12
775;"Kirby's Epic Yarn";"Wii";"2010";"Platform";"Nintendo";2,12
778;"NBA 2K12";"PS3";"2011";"Sports";"Take-Two Interactive";2,11
779;"Borderlands";"PS3";"2009";"Shooter";"Take-Two Interactive";2,11
781;"PES 2009: Pro Evolution Soccer";"PS3";"2008";"Sports";"Konami Digital Entertainment";2,11
783;"Mario Sports Mix";"Wii";"2010";"Sports";"Nintendo";2,11
786;"Mortal Kombat";"X360";"2011";"Fighting";"Warner Bros. Interactive Entertainment";2,11
791;"Portal 2";"X360";"2011";"Shooter";"Valve Software";2,1
796;"NBA 2K11";"X360";"2010";"Action";"Take-Two Interactive";2,09
797;"Wipeout: The Game";"Wii";"2009";"Misc";"Mindscape";2,09
799;"Battlefield: Hardline";"PS4";"2015";"Shooter";"Electronic Arts";2,09
800;"Metal Gear Solid: Peace Walker";"PSP";"2010";"Action";"Konami Digital Entertainment";2,09
801;"World of Warcraft: Cataclysm";"PC";"2010";"Role-Playing";"Activision";2,08
803;"Need For Speed: Undercover";"PS3";"2008";"Racing";"Electronic Arts";2,08
804;"Dance Dance Revolution: Hottest Party";"Wii";"2007";"Simulation";"Konami Digital Entertainment";2,08
806;"Ghostbusters: The Video Game (DS Version)";"PS3";"2010";"Action";"Take-Two Interactive";2,08
809;"Skate 3";"PS3";"2010";"Sports";"Electronic Arts";2,08
811;"Kingdom Hearts: Birth by Sleep";"PSP";"2010";"Role-Playing";"Square Enix";2,07
812;"UFC 2009 Undisputed";"X360";"2009";"Fighting";"THQ";2,07
813;"Dark Souls";"PS3";"2011";"Role-Playing";"Namco Bandai Games";2,07
815;"Need for Speed: ProStreet";"X360";"2007";"Racing";"Electronic Arts";2,06
816;"The Sims 3";"PS3";"2010";"Simulation";"Electronic Arts";2,06
817;"Tom Clancy's Splinter Cell: Conviction";"X360";"2010";"Action";"Ubisoft";2,06
822;"Mario & Luigi: Dream Team";"3DS";"2013";"Role-Playing";"Nintendo";2,06
823;"Need for Speed: ProStreet";"PS3";"2007";"Racing";"Electronic Arts";2,05
824;"Carnival Games";"DS";"2008";"Misc";"Take-Two Interactive";2,05
825;"NBA 2K14";"PS3";"2013";"Sports";"Take-Two Interactive";2,05
828;"Diablo III";"PS3";"2013";"Role-Playing";"Activision";2,05
830;"PGR4 - Project Gotham Racing 4";"X360";"2007";"Racing";"Microsoft Game Studios";2,05
831;"Kingdom Hearts 358/2 Days";"DS";"2009";"Role-Playing";"Square Enix";2,04
832;"Dance Central 2";"X360";"2011";"Misc";"Microsoft Game Studios";2,04
833;"Rayman Raving Rabbids: TV Party";"Wii";"2008";"Misc";"Ubisoft";2,04
837;"Need for Speed: The Run";"PS3";"2011";"Action";"Electronic Arts";2,04
838;"Madden NFL 15";"PS4";"2014";"Sports";"Electronic Arts";2,03
840;"Just Dance 3";"X360";"2011";"Misc";"Ubisoft";2,03
842;"Dead Space";"PS3";"2008";"Action";"Electronic Arts";2,02
844;"Madden NFL 15";"X360";"2014";"Sports";"Electronic Arts";2,02
845;"Forza Horizon";"X360";"2012";"Racing";"Microsoft Game Studios";2,02
846;"TouchMaster";"DS";"2007";"Puzzle";"Midway Games";2,01
847;"Tom Clancy's The Division";"XOne";"2016";"Shooter";"Ubisoft";2,01
848;"LEGO Marvel Super Heroes";"PS3";"2013";"Action";"Warner Bros. Interactive Entertainment";2
849;"Fire Emblem: Awakening";"3DS";"2012";"Role-Playing";"Nintendo";2
850;"DriveClub";"PS4";"2014";"Racing";"Sony Computer Entertainment";2
852;"Mortal Kombat vs. DC Universe";"PS3";"2008";"Fighting";"Midway Games";2
858;"Battlefield 4";"XOne";"2013";"Shooter";"Electronic Arts";1,98
859;"Resident Evil 6";"X360";"2012";"Shooter";"Capcom";1,98
860;"Dragon Age: Inquisition";"PS4";"2014";"Role-Playing";"Electronic Arts";1,97
861;"Sonic Classic Collection";"DS";"2010";"Platform";"Sega";1,97
863;"Call of Duty: World at War";"Wii";"2008";"Shooter";"Activision";1,97
865;"Burnout Paradise";"PS3";"2008";"Racing";"Electronic Arts";1,97
867;"BioShock Infinite";"X360";"2013";"Shooter";"Take-Two Interactive";1,96
873;"Destiny";"X360";"2014";"Shooter";"Activision";1,95
879;"FIFA Soccer 09";"X360";"2008";"Sports";"Electronic Arts";1,94
887;"Batman: Arkham Origins";"X360";"2013";"Action";"Warner Bros. Interactive Entertainment";1,93
888;"Guitar Hero: World Tour";"PS3";"2008";"Misc";"Activision";1,93
892;"Mortal Kombat vs. DC Universe";"X360";"2008";"Fighting";"Midway Games";1,93
893;"Watch Dogs";"PS3";"2014";"Action";"Ubisoft";1,93
894;"Mario Super Sluggers";"Wii";"2008";"Sports";"Nintendo";1,93
895;"Tomb Raider (2013)";"X360";"2013";"Action";"Square Enix";1,92
897;"Need for Speed: Shift";"X360";"2009";"Racing";"Electronic Arts";1,92
898;"Monopoly";"Wii";"2008";"Misc";"Electronic Arts";1,92
903;"Toy Story Mania!";"Wii";"2009";"Misc";"Disney Interactive Studios";1,92
905;"Star Wars: The Force Unleashed";"Wii";"2008";"Action";"LucasArts";1,91
906;"Game Party 2";"Wii";"2008";"Misc";"Midway Games";1,91
907;"Destiny: The Taken King";"PS4";"2015";"Shooter";"Activision";1,91
908;"LEGO Star Wars III: The Clone Wars";"Wii";"2011";"Action";"LucasArts";1,91
910;"Max Payne 3";"PS3";"2012";"Shooter";"Take-Two Interactive";1,9
911;"Need for Speed Rivals";"PS4";"2013";"Racing";"Electronic Arts";1,89
912;"Madden NFL 09";"PS3";"2008";"Sports";"Electronic Arts";1,89
913;"Yokai Watch";"3DS";"2013";"Role-Playing";"Nintendo";1,89
914;"Ratchet & Clank Future: A Crack in Time";"PS3";"2009";"Platform";"Sony Computer Entertainment";1,88
920;"High School Musical: Sing It!";"PS2";"2007";"Misc";"Disney Interactive Studios";1,87
924;"Donkey Kong Country Returns";"3DS";"2013";"Platform";"Nintendo";1,87
931;"LittleBigPlanet 3";"PS4";"2014";"Platform";"Sony Computer Entertainment";1,86
933;"Phineas and Ferb";"DS";"2009";"Action";"Disney Interactive Studios";1,86
935;"GoldenEye 007 (2010)";"Wii";"2010";"Action";"Activision";1,86
936;"Mario Party: Island Tour";"3DS";"2013";"Misc";"Nintendo";1,85
938;"Rayman Raving Rabbids 2";"Wii";"2007";"Misc";"Ubisoft";1,85
941;"inFAMOUS 2";"PS3";"2011";"Action";"Sony Computer Entertainment";1,85
943;"Demon's Souls";"PS3";"2009";"Role-Playing";"Namco Bandai Games";1,84
947;"World of Warcraft: Mists of Pandaria";"PC";"2012";"Role-Playing";"Activision";1,83
949;"Just Cause 3";"PS4";"2015";"Action";"Square Enix";1,83
951;"The Orange Box";"X360";"2007";"Shooter";"Electronic Arts";1,83
953;"Kirby: Triple Deluxe";"3DS";"2014";"Platform";"Nintendo";1,82
957;"Metroid Prime 3: Corruption";"Wii";"2007";"Shooter";"Nintendo";1,82
958;"Dragon Quest VI: Realms of Revelation";"DS";"2010";"Role-Playing";"Nintendo";1,81
959;"The Evil Within";"PS4";"2014";"Action";"Bethesda Softworks";1,81
964;"Guitar Hero: World Tour";"PS2";"2008";"Misc";"Activision";1,8
967;"NBA 2K11";"PS3";"2010";"Action";"Take-Two Interactive";1,8
969;"Call of Duty: Black Ops 3";"PS3";"2015";"Shooter";"Activision";1,79
971;"Beyond: Two Souls";"PS3";"2013";"Adventure";"Sony Computer Entertainment";1,79
972;"Kinect Star Wars";"X360";"2012";"Action";"Microsoft Game Studios";1,78
977;"Professor Layton and the Mask of Miracle";"3DS";"2011";"Puzzle";"Nintendo";1,78
978;"Just Cause 2";"PS3";"2010";"Action";"Square Enix";1,78
979;"Dragon's Dogma";"PS3";"2012";"Role-Playing";"Capcom";1,78
982;"High School Musical: Sing It!";"Wii";"2007";"Misc";"Disney Interactive Studios";1,77
984;"Madden NFL 25";"PS3";"2013";"Sports";"Electronic Arts";1,77
988;"UFC 2009 Undisputed";"PS3";"2009";"Fighting";"THQ";1,77
998;"BioShock Infinite";"PS3";"2013";"Shooter";"Take-Two Interactive";1,76
999;"Hitman: Absolution";"X360";"2012";"Action";"Square Enix";1,76
1001;"Call of Duty: Black Ops 3";"X360";"2015";"Shooter";"Activision";1,76
1003;"FIFA Soccer 08";"PS3";"2007";"Sports";"Electronic Arts";1,76
1006;"Kingdom Hearts";"PS3";"2013";"Role-Playing";"Square Enix";1,75
1009;"Crackdown";"X360";"2007";"Shooter";"Microsoft Game Studios";1,75
1013;"Cooking Mama 3: Shop & Chop";"DS";"2009";"Simulation";"505 Games";1,75
1014;"Dance Dance Revolution X";"PS2";"2008";"Simulation";"Konami Digital Entertainment";1,75
1018;"Portal 2";"PS3";"2011";"Shooter";"Valve";1,74
1019;"The Beatles: Rock Band";"Wii";"2009";"Misc";"MTV Games";1,74
1020;"Forza Motorsport 6";"XOne";"2015";"Racing";"Microsoft Game Studios";1,74
1021;"Sonic Colors";"Wii";"2010";"Platform";"Sega";1,74
1024;"Diablo III";"PS4";"2014";"Role-Playing";"Activision";1,74
1025;"Uncharted: Golden Abyss";"PSV";"2011";"Shooter";"Sony Computer Entertainment";1,74
1026;"Destiny";"PS3";"2014";"Shooter";"Activision";1,73
1028;"Overwatch";"PS4";"2016";"Shooter";"Activision";1,73
1031;"Disney Infinity";"Wii";"2013";"Action";"Disney Interactive Studios";1,73
1033;"Dishonored";"X360";"2012";"Action";"Bethesda Softworks";1,73
1035;"The Order: 1886";"PS4";"2015";"Shooter";"Sony Computer Entertainment";1,72
1036;"The Elder Scrolls Online";"PS4";"2015";"Role-Playing";"Bethesda Softworks";1,72
1037;"Call of Duty: World at War Final Fronts";"PS2";"2008";"Shooter";"Activision";1,72
1038;"Imagine: Teacher";"DS";"2008";"Simulation";"Ubisoft";1,72
1039;"Call of Duty: Modern Warfare 3";"PC";"2011";"Shooter";"Activision";1,72
1042;"The Sims 3: Late Night Expansion Pack";"PC";"2010";"Simulation";"Electronic Arts";1,71
1043;"Game Party 3";"Wii";"2009";"Puzzle";"Warner Bros. Interactive Entertainment";1,71
1045;"Deal or No Deal";"DS";"2007";"Misc";"Mindscape";1,71
1050;"Cabela's Big Game Hunter 2010";"Wii";"2009";"Sports";"Activision Value";1,7
1051;"The Crew";"PS4";"2014";"Racing";"Ubisoft";1,7
1052;"FIFA Soccer 10";"PS2";"2009";"Sports";"Electronic Arts";1,7
1053;"We Ski";"Wii";"2008";"Sports";"Namco Bandai Games";1,7
1054;"Personal Trainer: Math";"DS";"2007";"Puzzle";"Nintendo";1,7
1055;"Kirby's Return to Dreamland";"Wii";"2011";"Platform";"Nintendo";1,7
1057;"Ben 10: Protector of Earth";"DS";"2007";"Action";"D3Publisher";1,7
1060;"NBA 2K15";"XOne";"2014";"Sports";"Take-Two Interactive";1,69
1061;"Saints Row 2";"PS3";"2008";"Action";"THQ";1,69
1062;"Saints Row IV";"X360";"2013";"Action";"Deep Silver";1,69
1064;"Dragon Age: Origins";"PS3";"2009";"Role-Playing";"Electronic Arts";1,69
1065;"FIFA 16";"X360";"2015";"Sports";"Electronic Arts";1,69
1069;"Need For Speed: Undercover";"X360";"2008";"Racing";"Electronic Arts";1,69
1071;"Sid Meier's Civilization V";"PC";"2010";"Strategy";"Take-Two Interactive";1,69
1073;"Call of Duty Black Ops: Declassified";"PSV";"2012";"Action";"Activision";1,69
1074;"Star Wars Battlefront: Renegade Squadron";"PSP";"2007";"Shooter";"LucasArts";1,68
1077;"LEGO Batman 2: DC Super Heroes";"X360";"2012";"Action";"Warner Bros. Interactive Entertainment";1,68
1081;"Star Wars The Clone Wars: Lightsaber Duels";"Wii";"2008";"Action";"LucasArts";1,68
1082;"MySims";"Wii";"2007";"Simulation";"Electronic Arts";1,68
1084;"Shaun White Snowboarding: Road Trip";"Wii";"2008";"Sports";"Ubisoft";1,67
1086;"Big Beach Sports";"Wii";"2008";"Sports";"THQ";1,67
1089;"Knack";"PS4";"2013";"Platform";"Sony Computer Entertainment Europe";1,67
1094;"StarCraft II: Heart of the Swarm";"PC";"2013";"Strategy";"Activision";1,67
1099;"Dying Light";"PS4";"2015";"Action";"Warner Bros. Interactive Entertainment";1,66
1100;"Heavenly Sword";"PS3";"2007";"Action";"Sony Computer Entertainment";1,66
1103;"Max Payne 3";"X360";"2012";"Shooter";"Take-Two Interactive";1,66
1111;"Go Vacation";"Wii";"2011";"Misc";"Namco Bandai Games";1,65
1113;"Army of Two";"X360";"2008";"Shooter";"Electronic Arts";1,65
1114;"Dragon Quest IV: Chapters of the Chosen";"DS";"2007";"Role-Playing";"Square Enix";1,64
1116;"LEGO Pirates of the Caribbean: The Video Game";"Wii";"2011";"Action";"Disney Interactive Studios";1,64
1123;"Kinectimals";"X360";"2010";"Simulation";"Microsoft Game Studios";1,64
